username,player_id,joined,is_active
deepicex,67699878,1651241380,1
defaultanomaly,17894380,1404424226,1
dentoeter,13640760,1607354898,1
desertpawnsw,45930474,1653251637,1
detectie,94718792,1654202427,1
detroitlions1,20823496,1604786669,1
detroitrox,20122490,1604697433,1
devster27,28290148,1690218782,1
dfgh123,11003274,1380724017,1
didlesknowmydad,2413955,1375306660,1
dimosthenisg,24791124,1653503586,1
djdave28,8876344,1362663259,1
dmitrykorotkih1,88776232,1620732491,1
dodobirdthe3rd,159998007,1672725164,1
domidomi0505,71809700,1669288489,1
donkeyotea,150289879,1681060913,1
draakamel,70763474,1683367245,1
dragon_7984,20878148,1680533468,1
dragonstorm1276,173822479,1685898712,1
drbevill,64563236,1652625811,1
dsm_uk,52420390,1654807339,1
dtresham,3683856,1656916371,1
duckster123,3654114,1418988925,1
dukchianze,124016816,1667024903,1
dusayarov,154140169,1672481195,1
dusha83,4764438,1666933879,1
dustyhunter79,102961042,1673693487,1
dwtrue207,113390780,1655619539,1
echipajr,191042693,1673815614,1
edseds,1957159,1439287193,1
eduardomm83,86176248,1654891606,1
edwinaugustus,1720492,1367566793,1
edwinkm,4158195,1673940254,1
egyptian-pharaoh76,38115526,1665977265,1
elefante38daughter,196539203,1680905231,1
element_0,52548820,1662099883,1
elhalverson,30809344,1547742887,1
elm49,6252033,1559709038,1
emsworth-sussex,23166472,1497203717,1
endlesstrax,3132366,1404056500,1
endrue,96624442,1673784199,1
erfan19,12985180,1663403441,1
escakalnegre,21978678,1663014405,1
esoraltrebor,3995380,1686159402,1
etsi44,95362288,1656267310,1
evercombe,27336240,1519573951,1
evtimpeytchev,4226387,1391419992,1
fabius_bile,4557911,1542643791,1
faeryhorse,3806589,1383658664,1
fanty5,16067288,1689883957,1
feelingsometypeofway,9838644,1661864701,1
ffilip2010,4152618,1547292410,1
fgalmeid,43915254,1606651200,1
fhwee,2333386,1545567301,1
filarska,43312072,1673000500,1
finaldriver4,110055152,1689581900,1
finarfin,3784165,1468286476,1
flashgeordan,14354438,1405327161,1
flavouride,56602166,1581538809,1
fletch1664,554961,1388248449,1
flyingfeats,3913651,1656889459,1
forestgate,7367091,1669360593,1
forzafiume87,40862542,1653146516,1
fostej,29157404,1500203275,1
foxyd,10841920,1533650642,1
frankfok,3584028,1673028976,1
fraserjcamero,12035140,1388532183,1
fsasamkhodjaev,172637685,1671779677,1
g-fischer,29755592,1663535277,1
g-g-4,51415374,1662827601,1
gandad,2107891,1405768722,1
gardenman62,24188458,1531862387,1
gbrown057,280951,1361528076,1
gcresp,33551055,1673205536,1
gennady_boychenko,60654637,1690284131,1
gent00,63080962,1620713655,1
gerardconnolly,21195864,1490481067,1
giaarvel,15777532,1577197954,1
ginesillopasamonte,17461118,1456487179,1
giraffebha,43406786,1532612080,1
gl1812,146350215,1671779696,1
glitterbomb,27341802,1511731913,1
gormenghast1,37973604,1527624177,1
gotterdamnrung,14952410,1556211187,1
gray_cat,34308084,1653396365,1
greatrexr,1768706,1555345695,1
greydane769,33473161,1689583839,1
gubran1983,179137677,1658275106,1
guchlu,9316266,1601911710,1
gunmonkey89,9492114,1472300666,1
gwyn,207391,1390924144,1
h_attack_defense,18244120,1638609172,1
hakunatime,60768576,1673991350,1
harmelle,30293746,1660458650,1
harveysrockbar,60979058,1673377403,1
havastar,1697752,1605597920,1
hectormcgregor,80363740,1685091298,1
hendosun,53277250,1590275351,1
henryedwardbird,4111335,1419087693,1
heredog,1845197,1662013537,1
hihan,16954906,1547802688,1
holah,41477094,1626033213,1
hollywoodgwd,24271044,1481142746,1
holmfirthtiger,212536493,1680127579,1
holwickhobby,70388826,1614082903,1
honkonbobo,69588902,1576826385,1
hop-along,10898650,1688937857,1
horsechessnut,1611574,1540493767,1
howmudafuds,26390468,1527339916,1
hugobribeiro,102868670,1626557281,1
ibbyk06,92864604,1675076006,1
icarus58,204201875,1689546676,1
ilanmarcuschamer,23642518,1471206750,1
ill_be_black,51996130,1651063255,1
inkhee,46673260,1536218193,1
inlovewithjesus,11061602,1603180502,1
intrepidberk,1359872,1391187964,1
is-builder,126620612,1690293087,1
ivanhoeiii,62090768,1640101196,1
izovat,154170421,1657522872,1
iztacoyolt,128807948,1645301179,1
j0zerive,78770934,1664851201,1
j4cktorr4nce,20463994,1455457595,1
j_p_chess,3630123,1606708089,1
jaberwok,13916454,1604394887,1
jackandn,5424228,1399109498,1
jackk91,39539738,1651724075,1
jaimefw,38411222,1681324839,1
jameshardly,165742251,1666497576,1
jarel1,36117422,1608528338,1
jase684,9187658,1366654206,1
jbooth,6379022,1403885737,1
